Mean Intensity,Standard Deviation,Minimum Intensity,Maximum Intensity,Edge Pixels,Contour Count,Largest Contour Area,Texture Value,Label
128.43341438137756,73.3278028313772,0.0,255.0,5776.0,21.0,16106.0,395.317045205834,1
121.36371970663265,76.50807834082705,0.0,255.0,7632.0,1.0,33569.5,627.9883799169621,1
130.37370455994898,71.19926889357558,0.0,255.0,8750.0,5.0,27716.0,614.0687737768761,1
128.39343510841837,72.24094068870987,0.0,255.0,6849.0,6.0,27953.0,386.79587907604457,1
132.30291374362244,68.67535096958598,0.0,255.0,6598.0,6.0,23572.5,601.6359302754306,1
129.91384327168367,70.83909729355945,0.0,255.0,7459.0,2.0,25733.5,383.3248107092721,1
111.59576291454081,79.95622829189561,0.0,255.0,6254.0,1.0,25123.0,378.9788013475729,1
104.92175542091837,81.63603774117907,0.0,255.0,4510.0,57.0,22492.0,651.1388313137755,1
127.41671316964286,73.07325129412399,0.0,255.0,6769.0,5.0,26758.0,371.0155705388811,1
128.3199537627551,72.08500396754108,0.0,255.0,6346.0,2.0,27135.0,264.60184861023885,1
129.27046795280611,73.04333462027883,0.0,255.0,9257.0,26.0,24340.0,436.95981655692816,1
97.8211894132653,84.40877981585275,0.0,255.0,6117.0,1.0,34662.0,371.7016902285682,1
128.6766980229592,72.15647101748004,0.0,255.0,8575.0,5.0,27151.0,629.4354407180601,1
132.1808633609694,69.39777355125996,0.0,255.0,8112.0,1.0,28339.5,533.9643551919023,1
113.5667649872449,78.68115541538681,0.0,255.0,5877.0,2.0,22540.0,513.8395366513794,1
128.62781010841837,72.5837312760493,0.0,255.0,6165.0,3.0,29084.0,592.2480809733254,1
110.34715800382654,80.85392815440493,0.0,255.0,5884.0,2.0,26025.0,237.25329390886873,1
127.73513233418367,73.24444390690566,0.0,255.0,7313.0,6.0,26559.5,383.86672320161335,1
98.17211415816327,83.12962762625811,0.0,255.0,5449.0,2.0,32150.5,822.4480229591836,1
126.7422871492347,74.44210129500226,0.0,255.0,8470.0,1.0,29461.5,563.5158133322076,1
127.39809869260205,73.42163297141978,0.0,255.0,7161.0,4.0,29625.0,448.9850499646855,1
111.57387994260205,79.2292526557217,0.0,255.0,5403.0,1.0,24283.0,332.55267585014013,1
120.23658721301021,77.39675717515017,0.0,255.0,6604.0,10.0,27110.0,493.3531668967676,1
133.06680484693877,68.44039955041232,0.0,255.0,8234.0,5.0,25100.0,629.0725175693897,1
130.53174824617346,69.82923084846453,0.0,255.0,7773.0,1.0,26731.5,497.0912692897373,1
130.65690768494898,70.09236524538666,0.0,255.0,8104.0,1.0,25043.0,369.04329067168266,1
94.37824856505102,83.65366549391413,0.0,255.0,5821.0,7.0,22910.5,691.1810427295918,1
111.85720264668367,79.0079483114452,0.0,255.0,5058.0,2.0,22653.5,257.6341627471301,1
99.74830596301021,82.51016677895566,0.0,255.0,5170.0,26.0,23435.5,437.8130978954082,1
102.29542012117346,82.46181016249103,0.0,255.0,5034.0,3.0,23053.5,314.1461950808155,1
89.00548070790816,85.4131094413806,0.0,255.0,5898.0,12.0,22741.5,800.916086389938,1
96.32495615433673,84.43149853834264,0.0,255.0,6727.0,1.0,25998.5,912.951457781873,1
88.58595742984694,84.24726953899983,0.0,255.0,5123.0,1.0,20675.5,365.5821508290816,1
102.41137197066327,83.1266655636173,0.0,255.0,5370.0,1.0,23565.5,450.10032024010184,1
129.3884127869898,70.98102666788539,0.0,255.0,7542.0,6.0,23867.5,663.5807326955132,1
107.53136957908163,80.03433781370713,0.0,255.0,4758.0,1.0,22063.5,586.515016185994,1
100.30201690051021,84.09877276224539,0.0,255.0,6625.0,23.0,10019.0,563.0212500404189,1
99.10702327806122,82.83265798231947,0.0,255.0,5509.0,14.0,21352.0,556.516740664697,1
130.7246691645408,70.94188651036252,0.0,255.0,9420.0,5.0,23685.0,588.720994929481,1
96.03378109056122,82.99222072095877,0.0,255.0,5975.0,1.0,21301.5,541.559590242347,1
113.48772321428571,78.27674910651051,0.0,255.0,4822.0,1.0,23587.0,341.52354070178075,1
111.66187021683673,79.90022393360387,0.0,255.0,6576.0,3.0,23043.5,335.1921187420281,1
127.93054448341837,72.19420949961518,0.0,255.0,5331.0,2.0,24431.5,281.71924823624346,1
92.40320073341837,85.15963235722847,0.0,255.0,7190.0,8.0,29340.5,784.0891181468368,1
102.38693797831633,83.13684445008126,0.0,255.0,5022.0,9.0,23413.0,271.40338000035797,1
130.51785714285714,71.08588555402542,0.0,255.0,8859.0,6.0,26896.5,618.8024576827419,1
101.6031568877551,83.30479324388548,0.0,255.0,5687.0,2.0,26283.0,379.1414494858042,1
120.60588727678571,77.11291057260777,0.0,255.0,6911.0,3.0,28825.5,487.0954022389658,1
129.5840441645408,70.69685729290738,0.0,255.0,6688.0,2.0,25169.0,212.49012582811505,1
102.39373405612245,82.910265186536,0.0,255.0,4989.0,2.0,23254.5,266.9344357796779,1
99.58041693239795,82.41791843773616,0.0,255.0,5187.0,14.0,21983.0,300.2506968265074,1
130.49400111607142,70.30494236513476,0.0,255.0,6937.0,1.0,23632.5,335.00977800449493,1
129.75793207908163,70.7210001213213,0.0,255.0,6870.0,4.0,25654.0,650.743949461162,1
104.53782684948979,82.53204824102603,0.0,255.0,4715.0,39.0,28743.5,823.5186730209662,1
121.12422273596938,76.13986231668304,0.0,255.0,6867.0,2.0,29135.0,510.9487435250718,1
128.57198660714286,72.90236855471552,0.0,255.0,8138.0,3.0,30125.5,510.9252471474993,1
127.24246651785714,73.34310397492388,0.0,255.0,6717.0,5.0,29587.5,361.0832096685325,1
130.11648995535714,70.55831691940887,0.0,255.0,7041.0,2.0,24931.0,408.4893460160541,1
91.33320711096938,83.19937909076486,0.0,255.0,4645.0,5.0,20053.0,279.57529426107595,1
129.27162388392858,71.31613989548197,0.0,255.0,6515.0,2.0,26474.0,301.21842209650345,1
122.12663424744898,76.47853519637178,0.0,255.0,7539.0,1.0,33393.0,772.7092696110043,1
102.03702965561224,83.0371233078057,0.0,255.0,5377.0,1.0,24291.0,350.2971046873551,1
